Motif,cell_ids
"['SS', 'AUD', 'PTL', 'VIS', 'RSC']","[0, 12, 32, 35, 45, 49, 50, 60, 95, 102, 116, 120, 135, 136, 138, 140, 145, 146, 147, 149, 154, 165, 167, 169, 172, 176, 203, 205, 223, 224, 233, 236, 245, 261, 270, 276, 282, 283, 285, 287, 300, 317, 318, 320, 331, 334, 336, 343, 344, 345, 350, 357, 371, 375, 380, 385, 390, 392, 395, 421, 423, 426, 427, 431, 447, 458, 463, 473, 487, 489, 523, 529, 533, 534, 544, 545, 549, 560, 565, 568, 576, 582, 585, 599, 604, 605, 611, 617, 621, 630, 644, 679, 700, 705, 721, 722, 729, 745, 747, 757, 772, 773, 791, 801, 809, 821, 827, 832, 851, 856, 866, 875, 889, 898, 906, 921, 939, 964, 968, 972, 981, 1016, 1017, 1021, 1029, 1036, 1057, 1059, 1066, 1143, 1156, 1164, 1169, 1177, 1181, 1188, 1197, 1198, 1205, 1225, 1240, 1255, 1267, 1276, 1280, 1283, 1301, 1314, 1345, 1346, 1350, 1355, 1364, 1376, 1380, 1384, 1408, 1414, 1460, 1471, 1480, 1525, 1534, 1565, 1567, 1578, 1581, 1594, 1610, 1614, 1667, 1674, 1709, 1710, 1716, 1728, 1738, 1745, 1756, 1765, 1795, 1796, 1847, 1850, 1859, 1860, 1876, 1894, 1985, 1991, 1993, 2008, 2016, 2031, 2032, 2035, 2060, 2066, 2102, 2112, 2117, 2129, 2138, 2158, 2178, 2179, 2190, 2199, 2203, 2223, 2239, 2244, 2256, 2281, 2284, 2285, 2286, 2289, 2304, 2315, 2331, 2344, 2350, 2356, 2358, 2367, 2398, 2410, 2415, 2417, 2421, 2425, 2448, 2466, 2497, 2513, 2515, 2517, 2522, 2531, 2533, 2536, 2548, 2550, 2552, 2585, 2593, 2606, 2608, 2619, 2622, 2627, 2631, 2634, 2636, 2640, 2646, 2655, 2657, 2662, 2679, 2681, 2701, 2705, 2717, 2726, 2737, 2753, 2754, 2773, 2776, 2779, 2780, 2785, 2786, 2788, 2789, 2798, 2819, 2824, 2825, 2832, 2834, 2835, 2836, 2864, 2887, 2893, 2894, 2902, 2933, 2934, 2966, 2980, 2991, 3003]"
"['SS', 'ACA', 'PTL', 'VIS', 'RSC']","[1, 61, 87, 183, 256, 377, 580, 666, 769, 839, 878, 884, 1080, 1160, 1161, 1275, 1329, 1337, 1369, 1459, 1576, 1603, 2157, 2189, 2456, 2601, 2628, 2638, 2654, 2722, 2808, 2883, 2951, 2955, 2993]"
"['AUD', 'ACA', 'PTL', 'VIS', 'RSC']","[5, 74, 131, 314, 337, 396, 1051, 1617, 1730, 1951, 2185, 2292, 2660, 2700, 2944]"
"['PFC', 'ORB', 'SS', 'AUD', 'ACA', 'PTL']","[758, 2341]"
"['PFC', 'ORB', 'SS', 'AUD', 'ACA', 'VIS']","[129, 454, 634, 663, 749, 808, 936, 977, 1127, 1146, 1190, 1203, 1494, 1556, 1677, 1994, 2030, 2067, 2424, 2439, 2462, 2898]"
"['PFC', 'ORB', 'SS', 'AUD', 'ACA', 'RSC']","[781, 1092]"
"['PFC', 'ORB', 'SS', 'AUD', 'PTL', 'VIS']","[399, 483, 618, 779, 787, 798, 925, 933, 974, 1031, 1040, 1067, 1238, 1272, 1274, 1475, 1495, 1772, 1809, 1880, 1928, 2023, 2162, 2354, 2710, 2741, 2759]"
"['PFC', 'ORB', 'SS', 'AUD', 'PTL', 'RSC']",[984]
"['PFC', 'ORB', 'SS', 'AUD', 'VIS', 'RSC']","[152, 794, 802, 830, 838, 881, 962, 1193, 1200, 1259, 1342, 1352, 1553, 1948, 2068, 2163, 2198, 2242, 2560, 2899]"
"['PFC', 'ORB', 'SS', 'ACA', 'PTL', 'VIS']","[342, 1176, 1305, 1575, 1835, 2446]"
"['PFC', 'ORB', 'SS', 'ACA', 'PTL', 'RSC']","[904, 1061, 1076]"
"['PFC', 'ORB', 'SS', 'ACA', 'VIS', 'RSC']","[793, 869, 1278, 1740]"
"['PFC', 'ORB', 'SS', 'PTL', 'VIS', 'RSC']","[546, 723, 849, 969, 1026, 1174, 1292, 1293, 1308, 1362, 1421, 1848, 2498]"
"['PFC', 'ORB', 'AUD', 'ACA', 'PTL', 'VIS']","[163, 1717, 2240]"
"['PFC', 'ORB', 'AUD', 'ACA', 'VIS', 'RSC']","[461, 600, 1426, 1590, 1599, 1721]"
